Livello gerarchico più alto;Livello 2;Livello 3;Livello 4;Livello 5;Livello 6;Livello 7;;;
crop;cover crop;winter cover crop;rye;;;;;;
crop;cover crop;winter cover crop;rye cover crop;;;;;;
crop;cover crop;winter cover crop;ryegrass;;;;;;
crop;cover crop;winter cover crop;ryegrass cover crop;;;;;;
crop;cover crop;winter cover crop;barley;;;;;;
crop;cover crop;winter cover crop;barley cover crop;;;;;;
crop;cover crop;winter cover crop;wheat;;;;;;
crop;cover crop;winter cover crop;oat;;;;;;
crop;cover crop;winter cover crop;oat cover crop;;;;;;
crop;cover crop;winter cover crop;mustard;white mustard;;;;;
crop;cover crop;winter cover crop;mustard;brown mustard;;;;;
crop;cover crop;winter cover crop;mustard cover crop;;;;;;
crop;cover crop;winter cover crop;radish;;;;;;
crop;cover crop;winter cover crop;radish cover crop;;;;;;
crop;cover crop;winter cover crop;rapeseed;;;;;;
crop;cover crop;winter cover crop;clover;berseem clover;;;;;
crop;cover crop;winter cover crop;clover;crimson clover;;;;;
crop;cover crop;winter cover crop;clover;subterranean clover;;;;;
crop;cover crop;winter cover crop;clover;white clover;;;;;
crop;cover crop;winter cover crop;clover;red clover;;;;;
crop;cover crop;winter cover crop;clover cover crop;crimson clover cover crop;;;;;
crop;cover crop;winter cover crop;clover cover crop;red clover cover crop;;;;;
crop;cover crop;winter cover crop;vetch;hairy vetch;;;;;
crop;cover crop;winter cover crop;vetch;hairy vetch cover crop;;;;;
crop;cover crop;winter cover crop;vetch;purple vetch;;;;;
crop;cover crop;winter cover crop;field pea;;;;;;
crop;cover crop;winter cover crop;perennial ryegrass;;;;;;
crop;cover crop;winter cover crop;faba bean;;;;;;
crop;cover crop;winter cover crop;buckwheat;;;;;;
crop;cover crop;summer cover crop;sunn hemp;;;;;;
crop;cover crop;summer cover crop;clover;berseem clover;;;;;
crop;cover crop;summer cover crop;clover;crimson clover;;;;;
crop;cover crop;summer cover crop;clover cover crop;;;;;;
crop;cover crop;summer cover crop;sorghum sudangrass;;;;;;
crop;cover crop;summer cover crop;buckwheat;;;;;;
crop;cover crop;summer cover crop;cowpea;;;;;;
crop;cover crop;summer cover crop;cowpea cover crop;;;;;;
crop;cover crop;summer cover crop;alfalfa;;;;;;
crop;cover crop;summer cover crop;velvet bean;;;;;;
crop;cover crop;leguminous cover crop;winter legume cover crop;;;;;;
crop;cover crop;leguminous cover crop;alfalfa;;;;;;
crop;cover crop;leguminous cover crop;vetch cover crop;hairy vetch;;;;;
crop;cover crop;leguminous cover crop;vetch cover crop;hairy vetch cover crop;;;;;
crop;cover crop;leguminous cover crop;;;;;;;
crop;cover crop;leguminous cover crop;;;;;;;
crop;cover crop;leguminous cover crop;;;;;;;
crop;cover crop;leguminous cover crop;;;;;;;
crop;cover crop;leguminous cover crop;;;;;;;
crop;cover crop;leguminous cover crop;tropical legume cover crop;;;;;;
crop;cover crop;grass cover crop;oat;;;;;;
crop;cover crop;grass cover crop;oat cover crop;;;;;;
crop;cover crop;grass cover crop;barley;;;;;;
crop;cover crop;grass cover crop;barley cover crop;;;;;;
crop;cover crop;grass cover crop;rye;;;;;;
crop;cover crop;grass cover crop;rye cover crop;;;;;;
crop;cover crop;grass cover crop;;;;;;;
crop;cover crop;grass cover crop;;;;;;;
crop;cover crop;grass cover crop;;;;;;;
crop;cover crop;grass cover crop;;;;;;;
crop;cover crop;grass cover crop;;;;;;;
crop;cover crop;grass cover crop;;;;;;;
crop;cover crop;grass cover crop;;;;;;;
crop;cover crop;grass cover crop;;;;;;;
crop;cover crop;grass cover crop;;;;;;;
crop;cover crop;grass cover crop;;;;;;;
crop;cover crop;grass cover crop;;;;;;;
crop;cover crop;brassica cover crop;brassica green manure;;;;;;
crop;cover crop;brassica cover crop;;;;;;;
crop;cover crop;brassica cover crop;;;;;;;
crop;cover crop;brassica cover crop;;;;;;;
crop;cover crop;brassica cover crop;;;;;;;
crop;cover crop;brassica cover crop;;;;;;;
crop;cover crop;brassica cover crop;;;;;;;
crop;cover crop;brassica cover crop;;;;;;;
crop;cover crop;brassica cover crop;;;;;;;
crop;cover crop;brassica cover crop;;;;;;;
crop;cover crop;brassica cover crop;;;;;;;
crop;cover crop;perennial cover crop;;;;;;;
crop;cover crop;annual cover crop;winter annual cover crop;;;;;;
crop;cover crop;green manure cover crop;legume green manure crop;;;;;;
crop;cover crop;green manure cover crop;winter green manure crop;;;;;;
crop;cover crop;catch crop;;;;;;;
crop;cover crop;catch crop;winter catch crop;ryegrass catch crop;;;;;
crop;cover crop;catch crop;summer catch crop;;;;;;
crop;cover crop;mulch crop;;;;;;;
crop;cover crop;ground cover crop;;;;;;;
crop;cover crop;stubble crop;;;;;;;
crop;cover crop;energy cover crop;;;;;;;
crop;cover crop;spontaneous cover crop;;;;;;;
crop;cover crop;green cover crop;;;;;;;
crop;cover crop;native cover crop;;;;;;;
crop;cover crop;relay cover crop;;;;;;;
crop;cover crop;inter - row cover crop;;;;;;;
crop;cover crop;biofumigant crop;;;;;;;
crop;succeed crop;;;;;;;;
crop;vegetable crop;tomato crop;;;;;;;
crop;annual crop;;;;;;;;
crop;summer crop;;;;;;;;
crop;winter crop;;;;;;;;
crop;previous crop;;;;;;;;
crop;forage crop;maize crop;;;;;;;
crop;grain crop;;;;;;;;
crop;cash crop;summer cash crop;;;;;;;
crop;cash crop;soybean crop;;;;;;;
crop;cash crop;maize crop;;;;;;;
crop;cash crop;rice crop;;;;;;;
crop;cash crop;potato crop;;;;;;;
crop;cash crop;wheat crop;;;;;;;
crop;cash crop;cotton crop;;;;;;;
crop;cash crop;tomato crop;;;;;;;
crop;cash crop;oilseed crop;;;;;;;
crop;row crop;;;;;;;;
crop;legume crop;soybean crop;;;;;;;
crop;cereal crop;wheat crop;;;;;;;
crop;cereal crop;rice crop;;;;;;;
crop;cereal crop;maize crop;;;;;;;
crop;trap crop;;;;;;;;
crop;rotation crop;;;;;;;;
crop;food crop;;;;;;;;
crop;field crop;;;;;;;;
crop;perennial crop;;;;;;;;
crop;spring crop;;;;;;;;
crop;double crop;;;;;;;;
crop;bioenergy crop;;;;;;;;
crop;companion crop;;;;;;;;
crop;brassica crop;;;;;;;;
crop;service crop;;;;;;;;
crop;sole crop;;;;;;;;
crop;ratoon crop;;;;;;;;
crop;undersown crop;;;;;;;;
crop;relay crop;;;;;;;;
crop;allelopathic crop;;;;;;;;
crop;fallow crop;;;;;;;;
crop;gm crop;;;;;;;;
crop;horticultural crop;;;;;;;;
crop;organic crop ;;;;;;;;
crop;high value crop;;;;;;;;
