Termine presente nella gerarchia;Sinonimo 1 (Nomenclatura binomia);Sinonimo 2;Sinonimo 3;Sinonimo 4;Sinonimo 5;Sinonimo 6;Sinonimo 7;Sinonimo 8;Sinonimo 9;Sinonimo 10;Sinonimo 11;Sinonimo 12;Sinonimo 13;Sinonimo 14;Sinonimo 15;Sinonimo 16
N;nitrogen;;;;;;;;;;;;;;;
fertilizer application;fertilization;fertilisation;fertiliser application;fertilization practice;;;;;;;;;;;;
yield;production;crop yield;;;;;;;;;;;;;;
weed control;weed suppression;;;;;;;;;;;;;;;
no tillage;no till;no-tillage;no-till;no till nt;no till practice;no tillage practice;;;;;;;;;;
no till management;no tillage management;;;;;;;;;;;;;;;
P;phosphorus;;;;;;;;;;;;;;;
soil fertility;soil quality;soil health;;;;;;;;;;;;;;
grass;Poaceae;;;;;;;;;;;;;;;
soil erosion;soil loss;;;;;;;;;;;;;;;
fertilizer;fertiliser;;;;;;;;;;;;;;;
chemical fertilizer;chemical fertiliser;mineral fertilizer;mineral fertiliser;synthetic fertilizer;synthetic fertiliser;inorganic fertilizer;inorganic fertiliser;commercial fertilizer;;;;;;;;
dry matter;dry weight;;;;;;;;;;;;;;;
K;potassium;;;;;;;;;;;;;;;
C;carbon;;;;;;;;;;;;;;;
paddy field ;rice field;;;;;;;;;;;;;;;
soil moisture;soil water content;moisture content;soil moisture condition;soil moisture level;moisture level;;;;;;;;;;;
crop residue;plant residue;stubble;;;;;;;;;;;;;;
soil organic carbon;SOC;soil organic C;soil organic carbon SOC;;;;;;;;;;;;;
bulk density;soil bulk density;;;;;;;;;;;;;;;
tillage practice;soil tillage;;;;;;;;;;;;;;;
sowing;seeding;;;;;;;;;;;;;;;
amendment;soil amendment;;;;;;;;;;;;;;;
Mg;magnesium;;;;;;;;;;;;;;;
legume cover crop;leguminous cover crop;legume cover crop specie;;;;;;;;;;;;;;
chemical elements;chemical;;;;;;;;;;;;;;;
legume yield;pod yield;;;;;;;;;;;;;;;
mineral N;inorganic N;mineral nitrogen;inorganic nitrogen;inorganic N.;;;;;;;;;;;;
poultry litter;poultry manure;;;;;;;;;;;;;;;
plough;plow;;;;;;;;;;;;;;;
N accumulation;N immobilization;nitrogen accumulation;N immobilisation;;;;;;;;;;;;;
cover crop;cover plant;cover crop plant;plant cover crop;;;;;;;;;;;;;
organic carbon;organic C;OC;biomass C;;;;;;;;;;;;;
agricultural practice;agronomic practice;;;;;;;;;;;;;;;
herbicide application;herbicide treatment;;;;;;;;;;;;;;;
total P;total phosphorus;;;;;;;;;;;;;;;
organic farming;organic agriculture;;;;;;;;;;;;;;;
N fertilization;nitrogen fertilization;N application;nitrogen fertilisation;N fertilisation;nitrogen fertilization;N fertilizer application;N fertiliser application;nitrogen fertilizer application;nitrogen fertiliser application;nitrogen application;mineral N fertilization;nitrogen N fertilization;N fertilizer treatment;fertilizer N application;N fertilizer use;N topdressing
crop property;crop characteristic;;;;;;;;;;;;;;;
organic amendment;organic manure;amendment;;;;;;;;;;;;;;
agricultural practice;management practice;farming practice;;;;;;;;;;;;;;
N2O;nitrous oxide;N 2O;;;;;;;;;;;;;;
maize yield;corn yield;;;;;;;;;;;;;;;
mineralization;mineralisation;;;;;;;;;;;;;;;
porosity;soil porosity;;;;;;;;;;;;;;;
urea N;urea nitrogen;;;;;;;;;;;;;;;
element;chemical element;;;;;;;;;;;;;;;
N content;N concentration;nitrogen content;nitrogen level;nitrogen concentration;;;;;;;;;;;;
nitrate N;NO3 N;nitrate nitrogen;NO3 N.;;;;;;;;;;;;;
maize grain yield;corn grain yield;;;;;;;;;;;;;;;
Cu;copper;;;;;;;;;;;;;;;
N uptake;nitrogen uptake;;;;;;;;;;;;;;;
succeed crop;follow crop;;;;;;;;;;;;;;;
soil C;soil carbon;soil C.;;;;;;;;;;;;;;
soil microbial biomass C;microbial biomass C ;soil microbial biomass carbon;microbial biomass carbon;;;;;;;;;;;;;
Ca;calcium;;;;;;;;;;;;;;;
fertilizer application;fertilizer treatment;fertiliser application;fertiliser treatment;;;;;;;;;;;;;
bare soil;bare ground;;;;;;;;;;;;;;;
cereal rye cover crop;winter rye cover crop;winter rye cc;rye winter cover crop;rye cover crop;rye cc;winter cereal rye cover crop;;;;;;;;;;
cover crop function;cover crop effect;;;;;;;;;;;;;;;
soil water content;soil moisture content;;;;;;;;;;;;;;;
soil property;soil parameter;;;;;;;;;;;;;;;
soil N;soil nitrogen;soil N.;;;;;;;;;;;;;;
Zn;zinc;;;;;;;;;;;;;;;
cotton yield;lint yield;;;;;;;;;;;;;;;
aboveground biomass;above biomass;;;;;;;;;;;;;;;
cover crop termination methods;termination methods;;;;;;;;;;;;;;;
organic farming system;organic production system;;;;;;;;;;;;;;;
soil cover;land cover;;;;;;;;;;;;;;;
herbicide application;herbicide use;herbicide usage;;;;;;;;;;;;;;
farmyard manure;fym;farm yard manure;;;;;;;;;;;;;;
soil mineral N;soil inorganic N;;;;;;;;;;;;;;;
N leaching;nitrogen leaching;nitrogen N leaching;;;;;;;;;;;;;;
CH4 emission;methane emission;CH4 production;methane production;;;;;;;;;;;;;
arbuscular mycorrhizal fungus;am fungus;arbuscular mycorrhizal am fungus;;;;;;;;;;;;;;
legume crop;leguminous crop;pulse crop;;;;;;;;;;;;;;
N loss;nitrogen loss;nitrogen N loss;;;;;;;;;;;;;;
NO3 leaching;nitrate leaching;NO3- leaching;nitrate leach;NO3− leaching;;;;;;;;;;;;
NO3 loss;nitrate loss;NO3 N loss;nitrate N loss;;;;;;;;;;;;;
N2O emission;nitrous oxide emission;nitrous oxide N2O emission;N2O flux;;;;;;;;;;;;;
N fertilizer;nitrogen fertilizer;mineral N fertilizer;chemical N fertilizer;inorganic N fertilizer;nitrogen N fertilizer;N fertiliser;synthetic N fertilizer;mineral nitrogen fertilizer;nitrogen fertiliser;chemical nitrogen fertilizer;nitrogenous fertilizer;;;;;
GHG emission;greenhouse gas emission;;;;;;;;;;;;;;;
soil organic carbon sequestration;SOC sequestration;soil C sequestration;soil carbon sequestration;C sequestration;carbon sequestration;soil carbon storage;;;;;;;;;;
soil health indicator;soil quality indicator;;;;;;;;;;;;;;;
soil infiltration rate;infiltration rate;;;;;;;;;;;;;;;
soil aggregate size;aggregate size;;;;;;;;;;;;;;;
soil penetration resistance;penetration resistance;;;;;;;;;;;;;;;
soil electrical conductivity;electrical conductivity;;;;;;;;;;;;;;;
soil cation exchange capacity;cation exchange capacity;;;;;;;;;;;;;;;
sweet maize;sweet corn;;;;;;;;;;;;;;;
silage maize;silage corn;;;;;;;;;;;;;;;
grain maize;grain corn;;;;;;;;;;;;;;;
planting;sowing;seeding;;;;;;;;;;;;;;
deep tillage;ploughing;plowing;;;;;;;;;;;;;;
cover crop termination methods;termination methods;;;;;;;;;;;;;;;
termination;cover crop termination;;;;;;;;;;;;;;;
maize harvest;corn harvest;;;;;;;;;;;;;;;
conventional tillage;ct;conventional tillage treatment;standard tillage;conventional tillage practice;conventional soil tillage;traditional tillage;conventional ct;;;;;;;;;
soil property;soil parameter;;;;;;;;;;;;;;;
soil hydraulic conductivity;hydraulic conductivity;;;;;;;;;;;;;;;
saturated hydraulic conductivity;saturate hydraulic conductivity;;;;;;;;;;;;;;;
maize planting;corn planting;;;;;;;;;;;;;;;
C process;soil C process;;;;;;;;;;;;;;;
root;plant root;;;;;;;;;;;;;;;
SOC stock;soil organic carbon stock;soil C stock;soil carbon stock;carbon stock;C stock;carbon stock;;;;;;;;;;
sow;drill;sowing;planting;;;;;;;;;;;;;
tillage;tillage practice;soil preparation;;;;;;;;;;;;;;
direct seeding;direct drilling;;;;;;;;;;;;;;;
agricultural practice;agricultural management practice;;;;;;;;;;;;;;;
S;sulfur;;;;;;;;;;;;;;;
total N;total nitrogen;;;;;;;;;;;;;;;
deep tillage;intensive tillage;;;;;;;;;;;;;;;
soil water retention;water retention;soil water hold capacity;;;;;;;;;;;;;;
soil inorganic N;soil mineral N;;;;;;;;;;;;;;;
Mn;manganese;;;;;;;;;;;;;;;
NO3 N content;nitrate N concentration;nitrate content;nitrate concentration;NO3 content;NO3 N concentration;NO3 concentration;nitrate level;NO3- concentration;;;;;;;;
soil erosion ;erosion;erosion process;;;;;;;;;;;;;;
soil runoff;runoff;;;;;;;;;;;;;;;
nutrient leaching;leaching;;;;;;;;;;;;;;;
weed;weed specie;;;;;;;;;;;;;;;
green manure cover crop;green manure crop;green manuring crop;green manure;;;;;;;;;;;;;
catch crop;trap crop;;;;;;;;;;;;;;;
rice;rice plant;;;;;;;;;;;;;;;
rice yield;rice grain yield;;;;;;;;;;;;;;;
mulch;litter;;;;;;;;;;;;;;;
multiple cropping;crop rotation;rotation;crop succession;succession;;;;;;;;;;;;
cover crop incorporation;green manure incorporation;green manuring;green manure addition;;;;;;;;;;;;;
early planting;early sowing;;;;;;;;;;;;;;;
maize planting;maize sowing;corn sowing;maize seeding;;;;;;;;;;;;;
direct seeding;direct sowing;;;;;;;;;;;;;;;
wheat planting;wheat sowing;;;;;;;;;;;;;;;
soybean planting;soybean sowing;;;;;;;;;;;;;;;
rice planting;rice sowing;;;;;;;;;;;;;;;
cover crop planting;cover crop sowing;;;;;;;;;;;;;;;
crop planting;crop sowing;;;;;;;;;;;;;;;
pesticide application;chemical control;;;;;;;;;;;;;;;
crop growth;plant growth;;;;;;;;;;;;;;;
maize growth;corn growth;;;;;;;;;;;;;;;
Fe;iron;;;;;;;;;;;;;;;
mineral fertilization;chemical fertilization;mineral fertilisation;inorganic fertilization;mineral nutrition;;;;;;;;;;;;
maize stover;corn stover;;;;;;;;;;;;;;;
water evaporation;soil evaporation;soil water evaporation;;;;;;;;;;;;;;
clay soil;clayey soil;;;;;;;;;;;;;;;
loamy soil;loam soil;;;;;;;;;;;;;;;
available K;available potassium;;;;;;;;;;;;;;;
soil porosity;porosity;;;;;;;;;;;;;;;
cover crop residue;cc residue;;;;;;;;;;;;;;;
soil physical property;soil physical attribute;;;;;;;;;;;;;;;
aboveground biomass;aboveground plant biomass;shoot biomass;aerial biomass;above ground biomass;;;;;;;;;;;;
P content;P concentration;phosphorus content;phosphorus level;;;;;;;;;;;;;
soil water retention;water hold capacity;;;;;;;;;;;;;;;
conventional tillage;conventional till;conventional tillage ct;;;;;;;;;;;;;;
soil water content;moisture content;;;;;;;;;;;;;;;
grass cover crop;cereal cover crop;grass cc;;;;;;;;;;;;;;
N uptake;crop N uptake;;;;;;;;;;;;;;;
ammonium sulphate;ammonium sulfate;;;;;;;;;;;;;;;
available N;available nitrogen;;;;;;;;;;;;;;;
manure treament;manure processing;;;;;;;;;;;;;;;
field crop;arable crop;;;;;;;;;;;;;;;
pH;pH value;;;;;;;;;;;;;;;
no till soil;nt soil;;;;;;;;;;;;;;;
farming system;agricultural production system;;;;;;;;;;;;;;;
N cycle;nitrogen cycle;;;;;;;;;;;;;;;
C cycle;carbon cycle;;;;;;;;;;;;;;;
crop property;plant trait;;;;;;;;;;;;;;;
farmyard manure;cow manure;;;;;;;;;;;;;;;
C sequestration;SOC storage;carbon storage;C storage;soil C storage;;;;;;;;;;;;
strip tillage;strip till;;;;;;;;;;;;;;;
N mineralization;nitrogen mineralization;soil N mineralization;N mineralisation;;;;;;;;;;;;;
vegetable cropping system;vegetable production system;;;;;;;;;;;;;;;
green manure application;gm application;;;;;;;;;;;;;;;
P fertilization;P application;P fertilisation;;;;;;;;;;;;;;
biological N fixation;biological nitrogen fixation;biological fixation;nitrogen fixation;N fixation;;;;;;;;;;;;
conventional farming system;conventional system;conventional system;conventional farming;;;;;;;;;;;;;
continuous maize;continuous corn;;;;;;;;;;;;;;;
maize monoculture;sole maize;monoculture corn;;;;;;;;;;;;;;
total C;total carbon;total C content;TOC content;;;;;;;;;;;;;
stem ;stalk;;;;;;;;;;;;;;;
bulk density;soil density;;;;;;;;;;;;;;;
soil microorganism;soil microbiota;;;;;;;;;;;;;;;
available P;available phosphorus;Olsen P;;;;;;;;;;;;;;
P fertilizer;phosphate fertilizer;phosphorus fertilizer;;;;;;;;;;;;;;
mulching;mulch treatment;soil mulching;surface mulching;;;;;;;;;;;;;
different crop rotation;diverse crop rotation;;;;;;;;;;;;;;;
tillage;till treatment;tillage treatment;tillage practice;;;;;;;;;;;;;
no tillage;no till treatment;no tillage treatment;;;;;;;;;;;;;;
canopy;plant canopy;;;;;;;;;;;;;;;
cover crop biomass;cc biomass;;;;;;;;;;;;;;;
perennial cover crop;permanent cover crop;;;;;;;;;;;;;;;
rotation crop;rotational crop;;;;;;;;;;;;;;;
minimum tillage;reduced tillage;rt;;;;;;;;;;;;;;
weed species;weed specie;;;;;;;;;;;;;;;
moldboard plowing;mouldboard ploughing;;;;;;;;;;;;;;;
amendment;soil amendment;;;;;;;;;;;;;;;
organic amendment;organic soil amendment;;;;;;;;;;;;;;;
organic fertilization;organic manuring;organic fertilisation;;;;;;;;;;;;;;
soil NO3 N;soil nitrate N;;;;;;;;;;;;;;;
animal manure;livestock manure;;;;;;;;;;;;;;;
available P concentration;available P content;available phosphorus content;;;;;;;;;;;;;;
crop ;agricultural crop;;;;;;;;;;;;;;;
soil evaporation reduction;reduce soil evaporation;;;;;;;;;;;;;;;
clayey;clay;;;;;;;;;;;;;;;
sediment loss;soil erosion;;;;;;;;;;;;;;;
maize silage yield;corn silage yield;;;;;;;;;;;;;;;
N yield;nitrogen yield;;;;;;;;;;;;;;;
sewage sludge;sludge;;;;;;;;;;;;;;;
grass;Poaceae plant;;;;;;;;;;;;;;;
C mineralization;carbon mineralization;;;;;;;;;;;;;;;
fertilizer N;fertilizer nitrogen;fertilizer N.;fertiliser N;;;;;;;;;;;;;
rice straw;paddy straw;;;;;;;;;;;;;;;
deep plowing;deep ploughing;;;;;;;;;;;;;;;
pig manure;swine manure;;;;;;;;;;;;;;;
rye biomass;cereal rye biomass;;;;;;;;;;;;;;;
straw;cereal straw;straw residue;;;;;;;;;;;;;;
N mineralization;soil N mineralization;;;;;;;;;;;;;;;
runoff;water runoff;runoff water;;;;;;;;;;;;;;
fertilizer;fertilizer input;;;;;;;;;;;;;;;
soybean;soybean plant;;;;;;;;;;;;;;;
C content;C concentration;carbon content;;;;;;;;;;;;;;
particulate organic C;particulate organic carbon;;;;;;;;;;;;;;;
monocropping;monocrop;continuous cropping;;;;;;;;;;;;;;
conservation farming system;conservation agriculture system;conservation system;;;;;;;;;;;;;;
acid soil;acidic soil;;;;;;;;;;;;;;;
N input;nitrogen input;;;;;;;;;;;;;;;
dry matter yield;dm yield;;;;;;;;;;;;;;;
N loss;nitrogen N loss;;;;;;;;;;;;;;;
nitrate leaching;NO3 N leaching;;;;;;;;;;;;;;;
soil organic matter content;SOM content;;;;;;;;;;;;;;;
incorporation;biomass incorporation;;;;;;;;;;;;;;;
nitrate leaching;NO3 N leaching;;;;;;;;;;;;;;;
coffee;coffee tree;;;;;;;;;;;;;;;
nitrous oxide N;N2O N;N2O nitrogen;;;;;;;;;;;;;;
chisel plowing;chisel tillage;;;;;;;;;;;;;;;
yield component;yield attribute;;;;;;;;;;;;;;;
N source;nitrogen source;;;;;;;;;;;;;;;
maize;corn;maize plant;corn plant;;;;;;;;;;;;;
tomato;tomato plant;;;;;;;;;;;;;;;
coffee;coffee plant;;;;;;;;;;;;;;;
subsequent maize crop;subsequent corn crop;;;;;;;;;;;;;;;
organic fertilizer;organic fertiliser;;;;;;;;;;;;;;;
organic farming practice;organic practice;;;;;;;;;;;;;;;
no tillage cropping system;no till farming;no tillage system;no till cropping system;no till system;;;;;;;;;;;;
organic fertilization;organic fertilizer treatment;;;;;;;;;;;;;;;
soil pH ;soil pH.;;;;;;;;;;;;;;;
microbial biomass N;microbial biomass nitrogen;;;;;;;;;;;;;;;
silage maize yield;maize silage yield;;;;;;;;;;;;;;;
sweet maize yield;sweet corn yield;;;;;;;;;;;;;;;
vetch;vetch cover crop;;;;;;;;;;;;;;;
weed control;weed control treatment;;;;;;;;;;;;;;;
mineral fertilization;chemical fertilizer treatment;;;;;;;;;;;;;;;
fertilizer management;fertilization management;;;;;;;;;;;;;;;
labile C;labile carbon;;;;;;;;;;;;;;;
cereal yield;grain yield;grain productivity;cereal grain yield;;;;;;;;;;;;;
winter cover crop;winter cc;fall cover crop;;;;;;;;;;;;;;
cash crop;commercial crop;;;;;;;;;;;;;;;
N demand;crop N demand;nitrogen requirement;;;;;;;;;;;;;;
cover crop termination;cc termination;;;;;;;;;;;;;;;
pre - emergence herbicide;pre herbicide;preemergence herbicide;;;;;;;;;;;;;;
synthetic herbicide;chemical herbicide;;;;;;;;;;;;;;;
maize residue;corn residue;;;;;;;;;;;;;;;
particulate organic C;pom C;;;;;;;;;;;;;;;
shallow plowing;shallow ploughing;;;;;;;;;;;;;;;
continuous wheat;cont w;;;;;;;;;;;;;;;
B ;boron;;;;;;;;;;;;;;;
soil organic carbon content;SOC content;soil C concentration;soil carbon content;soil C content;OC content;SOC concentration;organic C content;soil organic carbon concentration;soil organic carbon level;SOC level;soil organic C content;soil C level;Corg content;soil organic C concentration;;
brassica cover crop;brassicaceae cover crop;;;;;;;;;;;;;;;
winter wheat;winter wheat crop;;;;;;;;;;;;;;;
NH4 N;ammonium N;;;;;;;;;;;;;;;
residue management;crop residue management;;;;;;;;;;;;;;;
silt;silt fraction;;;;;;;;;;;;;;;
soil aggregate stability;structural stability;soil structural stability;soil stability;aggregate stability;;;;;;;;;;;;
leaf area index;LAI;;;;;;;;;;;;;;;
potentially mineralizable N;potentially mineralizable nitrogen;;;;;;;;;;;;;;;
CO2 emission;CO2 production;CO2 C emission;CO2 efflux;carbon dioxide emission;;;;;;;;;;;;
N2O emission;N2O production;nitrous oxide flux;N 2O emission;;;;;;;;;;;;;
arable cropping system;arable system;;;;;;;;;;;;;;;
